1.0,14.7
2.0,25.6
3.0,40.5
4.0,113.1
5.0,126.2
6.0,99.6
7.0,85.4
8.0,82.0
9.0,45.4
10.0,31.8
11.0,30.4
12.0,30.6
13.0,37.2
14.0,40.7
15.0,40.1
16.0,47.7
17.0,41.2
18.0,43.7
19.0,46.9
20.0,50.9
21.0,49.5
22.0,53.7
23.0,55.9
24.0,62.7
25.0,49.3
26.0,63.0
27.0,49.3
28.0,58.6
29.0,53.6
30.0,53.9
31.0,51.7
32.0,53.1
33.0,57.6
34.0,54.6
35.0,54.2
36.0,60.4
37.0,60.2
38.0,78.8
39.0,79.0
40.0,92.1
41.0,99.1
42.0,133.8
43.0,200.0
44.0,200.0
45.0,200.0
46.0,200.0
47.0,181.1
48.0,200.0
49.0,200.0
50.0,200.0
51.0,200.0
52.0,200.0
53.0,200.0
54.0,19.3
55.0,10.0
56.0,9.4
57.0,9.2
58.0,9.4
59.0,9.5
60.0,9.1
61.0,9.7
62.0,9.3
63.0,8.9
64.0,9.2
65.0,9.3
66.0,8.9
67.0,9.7
68.0,9.5
69.0,9.4
70.0,9.4
71.0,9.0
72.0,9.3
73.0,9.2
74.0,9.7
75.0,8.9
76.0,9.3
77.0,8.9
78.0,9.5
79.0,9.0
80.0,9.5
81.0,9.8
82.0,9.3
83.0,9.5
84.0,9.2
